CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	FDR	P<1e-9	ANNOTATION
17	ENSG00000161955	TNFSF13	p30860	Total protein	8.57E-23	22.07	4.83E-17	1	ABC
6	ENSG00000112576	CCND3	p30270	Mean sphered cell volume	2.96E-19	18.53	8.34E-14	1	ABC
12	ENSG00000111252	SH2B3	p30090	Platelet crit	7.59E-17	16.12	1.42E-11	1	ABC
6	ENSG00000112576	CCND3	p30260	Mean reticulocyte volume	3.45E-16	15.46	4.85E-11	1	ABC
12	ENSG00000111252	SH2B3	p30720	Cystatin C	4.48E-15	14.35	5.04E-10	1	ABC
12	ENSG00000111252	SH2B3	p30080	Platelet count	9.38E-15	14.03	8.80E-10	1	ABC
12	ENSG00000111252	SH2B3	p30190	Monocyte percentage	4.77E-14	13.32	3.83E-09	1	ABC
12	ENSG00000111252	SH2B3	p30650	Aspartate aminotransferase	1.18E-10	9.93	8.27E-06	1	ABC
12	ENSG00000111252	SH2B3	p30860	Total protein	1.53E-10	9.82	9.54E-06	1	ABC
12	ENSG00000111252	SH2B3	p30130	Monocyte count	2.16E-10	9.67	1.22E-05	1	ABC
6	ENSG00000112715	VEGFA	p30080	Platelet count	2.72E-10	9.57	1.39E-05	1	ABC
12	ENSG00000110917	MLEC	p30710	C-reactive protein	1.30E-09	8.89	6.11E-05	0	ABC
12	ENSG00000175970	UNC119B	p30710	C-reactive protein	3.83E-09	8.42	1.66E-04	0	ABC
12	ENSG00000157782	CABP1	p30710	C-reactive protein	4.74E-09	8.32	1.73E-04	0	ABC
7	ENSG00000087085	ACHE	p30020	Haemoglobin concentration	4.84E-09	8.32	1.73E-04	0	ABC
7	ENSG00000176125	UFSP1	p30020	Haemoglobin concentration	4.92E-09	8.31	1.73E-04	0	ABC
10	ENSG00000171988	JMJD1C	p30080	Platelet count	7.48E-09	8.13	2.48E-04	0	ABC
19	ENSG00000132004	FBXW9	p30110	Platelet distribution width	1.02E-08	7.99	3.19E-04	0	ABC
22	ENSG00000128310	GALR3	p30110	Platelet distribution width	1.84E-08	7.74	5.45E-04	0	ABC
7	ENSG00000077454	LRCH4	p30010	Red blood cell count	2.42E-08	7.62	6.49E-04	0	ABC
7	ENSG00000106336	FBXO24	p30010	Red blood cell count	2.42E-08	7.62	6.49E-04	0	ABC
7	ENSG00000077454	LRCH4	p30030	Haematocrit percentage	3.06E-08	7.51	7.50E-04	0	ABC
7	ENSG00000106336	FBXO24	p30030	Haematocrit percentage	3.06E-08	7.51	7.50E-04	0	ABC
3	ENSG00000113916	BCL6	p30120	Lymphocyte count	4.38E-08	7.36	9.50E-04	0	ABC
7	ENSG00000121716	PILRB	p30010	Red blood cell count	4.87E-08	7.31	9.50E-04	0	ABC
7	ENSG00000085514	PILRA	p30010	Red blood cell count	5.04E-08	7.30	9.50E-04	0	ABC
7	ENSG00000078487	ZCWPW1	p30010	Red blood cell count	5.10E-08	7.29	9.50E-04	0	ABC
7	ENSG00000146834	MEPCE	p30010	Red blood cell count	5.10E-08	7.29	9.50E-04	0	ABC
7	ENSG00000160813	PPP1R35	p30010	Red blood cell count	5.10E-08	7.29	9.50E-04	0	ABC
7	ENSG00000172336	POP7	p30010	Red blood cell count	5.15E-08	7.29	9.50E-04	0	ABC
7	ENSG00000106351	AGFG2	p30010	Red blood cell count	5.26E-08	7.28	9.50E-04	0	ABC
12	ENSG00000111252	SH2B3	p30600	Albumin	5.40E-08	7.27	9.50E-04	0	ABC
7	ENSG00000166924	NYAP1	p30010	Red blood cell count	5.64E-08	7.25	9.53E-04	0	ABC
7	ENSG00000166925	TSC22D4	p30010	Red blood cell count	5.75E-08	7.24	9.53E-04	0	ABC
7	ENSG00000172336	POP7	p30030	Haematocrit percentage	8.38E-08	7.08	1.27E-03	0	ABC
7	ENSG00000121716	PILRB	p30030	Haematocrit percentage	8.60E-08	7.07	1.27E-03	0	ABC
7	ENSG00000085514	PILRA	p30030	Haematocrit percentage	8.85E-08	7.05	1.27E-03	0	ABC
7	ENSG00000078487	ZCWPW1	p30030	Haematocrit percentage	9.11E-08	7.04	1.27E-03	0	ABC
7	ENSG00000146834	MEPCE	p30030	Haematocrit percentage	9.11E-08	7.04	1.27E-03	0	ABC
7	ENSG00000160813	PPP1R35	p30030	Haematocrit percentage	9.11E-08	7.04	1.27E-03	0	ABC
7	ENSG00000106351	AGFG2	p30030	Haematocrit percentage	9.32E-08	7.03	1.27E-03	0	ABC
7	ENSG00000166924	NYAP1	p30030	Haematocrit percentage	9.70E-08	7.01	1.27E-03	0	ABC
7	ENSG00000166925	TSC22D4	p30030	Haematocrit percentage	9.73E-08	7.01	1.27E-03	0	ABC
2	ENSG00000077044	DGKD	p30660	Direct bilirubin	1.24E-07	6.91	1.59E-03	0	ABC
17	ENSG00000108576	SLC6A4	p30020	Haemoglobin concentration	2.27E-07	6.64	2.84E-03	0	ABC
12	ENSG00000017427	IGF1	p30770	IGF-1	2.56E-07	6.59	3.13E-03	0	ABC
13	ENSG00000122025	FLT3	p30130	Monocyte count	4.14E-07	6.38	4.96E-03	0	ABC
3	ENSG00000113916	BCL6	p30180	Lymphocyte percentage	5.43E-07	6.27	6.37E-03	0	ABC
17	ENSG00000108576	SLC6A4	p30030	Haematocrit percentage	6.83E-07	6.17	7.84E-03	0	ABC
6	ENSG00000112715	VEGFA	p30090	Platelet crit	7.45E-07	6.13	8.39E-03	0	ABC
6	ENSG00000137309	HMGA1	p30130	Monocyte count	7.73E-07	6.11	8.54E-03	0	ABC
9	ENSG00000107099	DOCK8	p30110	Platelet distribution width	7.96E-07	6.10	8.62E-03	0	ABC
12	ENSG00000111252	SH2B3	p30180	Lymphocyte percentage	8.19E-07	6.09	8.70E-03	0	ABC
12	ENSG00000111252	SH2B3	p30680	Calcium	8.65E-07	6.06	9.02E-03	0	ABC
7	ENSG00000077454	LRCH4	p30020	Haemoglobin concentration	8.98E-07	6.05	9.02E-03	0	ABC
7	ENSG00000106336	FBXO24	p30020	Haemoglobin concentration	8.98E-07	6.05	9.02E-03	0	ABC
2	ENSG00000188452	CERKL	p30130	Monocyte count	1.08E-06	5.97	1.05E-02	0	ABC
12	ENSG00000089041	P2RX7	p30710	C-reactive protein	1.08E-06	5.97	1.05E-02	0	ABC
2	ENSG00000150722	PPP1R1C	p30130	Monocyte count	1.10E-06	5.96	1.05E-02	0	ABC
7	ENSG00000106351	AGFG2	p30020	Haemoglobin concentration	1.17E-06	5.93	1.05E-02	0	ABC
7	ENSG00000121716	PILRB	p30020	Haemoglobin concentration	1.18E-06	5.93	1.05E-02	0	ABC
7	ENSG00000172336	POP7	p30020	Haemoglobin concentration	1.18E-06	5.93	1.05E-02	0	ABC
7	ENSG00000085514	PILRA	p30020	Haemoglobin concentration	1.21E-06	5.92	1.05E-02	0	ABC
7	ENSG00000078487	ZCWPW1	p30020	Haemoglobin concentration	1.23E-06	5.91	1.05E-02	0	ABC
7	ENSG00000146834	MEPCE	p30020	Haemoglobin concentration	1.23E-06	5.91	1.05E-02	0	ABC
7	ENSG00000160813	PPP1R35	p30020	Haemoglobin concentration	1.23E-06	5.91	1.05E-02	0	ABC
7	ENSG00000166924	NYAP1	p30020	Haemoglobin concentration	1.31E-06	5.88	1.09E-02	0	ABC
7	ENSG00000166925	TSC22D4	p30020	Haemoglobin concentration	1.31E-06	5.88	1.09E-02	0	ABC
2	ENSG00000115232	ITGA4	p30130	Monocyte count	2.31E-06	5.64	1.89E-02	0	ABC
19	ENSG00000181029	TRAPPC5	p30670	Urea	2.77E-06	5.56	2.20E-02	0	ABC
19	ENSG00000183019	MCEMP1	p30670	Urea	2.77E-06	5.56	2.20E-02	0	ABC
22	ENSG00000203618	GP1BB	p30080	Platelet count	2.94E-06	5.53	2.30E-02	0	ABC
17	ENSG00000141736	ERBB2	p30000	White blood cell count	3.23E-06	5.49	2.49E-02	0	ABC
19	ENSG00000177045	SIX5	p30640	Apolipoprotein B	4.22E-06	5.38	3.21E-02	0	ABC
12	ENSG00000111252	SH2B3	p30140	Neutrophill count	4.55E-06	5.34	3.41E-02	0	ABC
14	ENSG00000257365	FNTB	p30110	Platelet distribution width	4.90E-06	5.31	3.63E-02	0	ABC
17	ENSG00000121060	TRIM25	p30000	White blood cell count	4.97E-06	5.30	3.64E-02	0	ABC
10	ENSG00000107438	PDLIM1	p30110	Platelet distribution width	5.93E-06	5.23	4.28E-02	0	ABC
3	ENSG00000162244	RPL29	p30240	Reticulocyte percentage	6.08E-06	5.22	4.33E-02	0	ABC
7	ENSG00000087085	ACHE	p30030	Haematocrit percentage	6.46E-06	5.19	4.55E-02	0	ABC
7	ENSG00000176125	UFSP1	p30030	Haematocrit percentage	6.93E-06	5.16	4.82E-02	0	ABC
