CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	FDR	P<1e-9	ANNOTATION
20	ENSG00000118702	GHRH	p30770	IGF-1	2.44E-41	40.613	1.48E-35	1	PROMOTER
16	ENSG00000135723	FHOD1	p30760	HDL Cholesterol	1.77E-23	22.7513	5.38E-18	1	PROMOTER
16	ENSG00000135723	FHOD1	p30630	Apolipoprotein A	5.15E-20	19.2883	1.04E-14	1	PROMOTER
16	ENSG00000162032	SPSB3	p30770	IGF-1	2.34E-14	13.6315	3.54E-09	1	PROMOTER
17	ENSG00000004939	SLC4A1	p30260	Mean reticulocyte volume	1.36E-13	12.8649	1.66E-08	1	PROMOTER
6	ENSG00000112715	VEGFA	p30080	Platelet count	4.79E-11	10.3193	4.85E-06	1	PROMOTER
19	ENSG00000105697	HAMP	p30070	Red blood cell distribution width	2.09E-10	9.67976	1.81E-05	1	PROMOTER
13	ENSG00000122025	FLT3	p30130	Monocyte count	4.69E-10	9.32914	3.55E-05	1	PROMOTER
7	ENSG00000176125	UFSP1	p30020	Haemoglobin concentration	3.78E-09	8.42258	0.0002546794916	0	PROMOTER
12	ENSG00000110917	MLEC	p30710	C-reactive protein	5.60E-09	8.25182	0.0003396225227	0	PROMOTER
19	ENSG00000104883	PEX11G	p30850	Testosterone	2.83E-08	7.54833	0.00155988937	0	PROMOTER
7	ENSG00000078487	ZCWPW1	p30010	Red blood cell count	4.77E-08	7.32188	0.002408547622	0	PROMOTER
11	ENSG00000110514	MADD	p30760	HDL Cholesterol	5.58E-08	7.25357	0.002601975071	0	PROMOTER
17	ENSG00000004939	SLC4A1	p30270	Mean sphered cell volume	8.63E-08	7.06419	0.003487668706	0	PROMOTER
7	ENSG00000078487	ZCWPW1	p30030	Haematocrit percentage	8.30E-08	7.08116	0.003487668706	0	PROMOTER
6	ENSG00000112715	VEGFA	p30090	Platelet crit	2.48E-07	6.60558	0.009399754284	0	PROMOTER
13	ENSG00000122025	FLT3	p30190	Monocyte percentage	8.01E-07	6.09636	0.02857640302	0	PROMOTER
7	ENSG00000078487	ZCWPW1	p30020	Haemoglobin concentration	1.15E-06	5.94063	0.03659593796	0	PROMOTER
16	ENSG00000261459	ENSG00000261459	p30700	Creatinine	1.13E-06	5.9481	0.03659593796	0	PROMOTER
