CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	FDR	P<1e-9	ANNOTATION
7	ENSG00000197093	GAL3ST4	p30020	Haemoglobin concentration	3.90E-64	63.4094	2.55E-58	1	RANDOM
7	ENSG00000166508	MCM7	p30020	Haemoglobin concentration	5.63E-63	62.2494	1.84E-57	1	RANDOM
7	ENSG00000197093	GAL3ST4	p30030	Haematocrit percentage	5.53E-60	59.2569	1.21E-54	1	RANDOM
7	ENSG00000166508	MCM7	p30030	Haematocrit percentage	1.18E-58	57.9286	1.93E-53	1	RANDOM
7	ENSG00000197093	GAL3ST4	p30010	Red blood cell count	3.52E-58	57.4535	4.61E-53	1	RANDOM
7	ENSG00000166508	MCM7	p30010	Red blood cell count	4.85E-57	56.3142	5.29E-52	1	RANDOM
1	ENSG00000122406	RPL5	p30130	Monocyte count	4.65E-50	49.3321	4.35E-45	1	RANDOM
1	ENSG00000122406	RPL5	p30190	Monocyte percentage	1.13E-47	46.9464	9.25E-43	1	RANDOM
1	ENSG00000132703	APCS	p30710	C-reactive protein	7.21E-28	27.1422	5.24E-23	1	RANDOM
1	ENSG00000196184	OR10J1	p30710	C-reactive protein	1.28E-27	26.8926	8.38E-23	1	RANDOM
2	ENSG00000168918	INPP5D	p30660	Direct bilirubin	1.40E-21	20.8525	8.35E-17	1	RANDOM
2	ENSG00000085978	ATG16L1	p30660	Direct bilirubin	1.55E-19	18.8083	8.48E-15	1	RANDOM
6	ENSG00000112339	HBS1L	p30010	Red blood cell count	3.77E-19	18.4241	1.90E-14	1	RANDOM
12	ENSG00000120860	WASHC3	p30770	IGF-1	4.16E-18	17.3811	1.94E-13	1	RANDOM
19	ENSG00000187244	BCAM	p30640	Apolipoprotein B	8.89E-18	17.0509	3.88E-13	1	RANDOM
20	ENSG00000124164	VAPB	p30110	Platelet distribution width	2.89E-16	15.5389	1.18E-11	1	RANDOM
8	ENSG00000147533	GOLGA7	p30270	Mean sphered cell volume	9.72E-16	15.0125	3.74E-11	1	RANDOM
3	ENSG00000163872	YEATS2	p30090	Platelet crit	2.89E-15	14.5388	1.05E-10	1	RANDOM
2	ENSG00000135902	CHRND	p30660	Direct bilirubin	7.60E-15	14.1192	2.62E-10	1	RANDOM
10	ENSG00000148634	HERC4	p30750	Glycated haemoglobin (HbA1c)	1.66E-14	13.7786	5.45E-10	1	RANDOM
19	ENSG00000117877	POLR1G	p30640	Apolipoprotein B	3.84E-14	13.416	1.20E-09	1	RANDOM
19	ENSG00000099783	HNRNPM	p30870	Triglycerides	5.40E-14	13.2679	1.60E-09	1	RANDOM
1	ENSG00000117533	VAMP4	p30110	Platelet distribution width	7.97E-14	13.0987	2.27E-09	1	RANDOM
3	ENSG00000145191	EIF2B5	p30090	Platelet crit	1.63E-13	12.789	4.43E-09	1	RANDOM
8	ENSG00000147408	CSGALNACT1	p30760	HDL Cholesterol	2.52E-13	12.5979	6.61E-09	1	RANDOM
1	ENSG00000118217	ATF6	p30860	Total protein	2.76E-13	12.5593	6.94E-09	1	RANDOM
3	ENSG00000163872	YEATS2	p30080	Platelet count	7.92E-13	12.1011	1.92E-08	1	RANDOM
9	ENSG00000120158	RCL1	p30080	Platelet count	8.67E-13	12.0618	2.03E-08	1	RANDOM
8	ENSG00000070718	AP3M2	p30270	Mean sphered cell volume	9.27E-13	12.033	2.08E-08	1	RANDOM
8	ENSG00000147408	CSGALNACT1	p30870	Triglycerides	9.55E-13	12.0202	2.08E-08	1	RANDOM
1	ENSG00000081721	DUSP12	p30860	Total protein	2.26E-12	11.6452	4.78E-08	1	RANDOM
3	ENSG00000177383	MAGEF1	p30090	Platelet crit	3.44E-12	11.4631	7.04E-08	1	RANDOM
1	ENSG00000143226	FCGR2A	p30860	Total protein	3.57E-12	11.4471	7.08E-08	1	RANDOM
20	ENSG00000101162	TUBB1	p30110	Platelet distribution width	5.20E-12	11.284	1.00E-07	1	RANDOM
10	ENSG00000096717	SIRT1	p30750	Glycated haemoglobin (HbA1c)	5.40E-12	11.2676	1.01E-07	1	RANDOM
9	ENSG00000120158	RCL1	p30090	Platelet crit	8.22E-12	11.0853	1.49E-07	1	RANDOM
10	ENSG00000108176	DNAJC12	p30750	Glycated haemoglobin (HbA1c)	1.79E-11	10.748	3.16E-07	1	RANDOM
20	ENSG00000178726	THBD	p30720	Cystatin C	2.82E-11	10.5503	4.85E-07	1	RANDOM
11	ENSG00000167257	RNF214	p30870	Triglycerides	3.85E-11	10.415	6.45E-07	1	RANDOM
19	ENSG00000099783	HNRNPM	p30760	HDL Cholesterol	5.35E-11	10.2713	8.76E-07	1	RANDOM
8	ENSG00000078668	VDAC3	p30270	Mean sphered cell volume	5.99E-11	10.2224	9.56E-07	1	RANDOM
11	ENSG00000160613	PCSK7	p30870	Triglycerides	6.64E-11	10.1781	1.03E-06	1	RANDOM
20	ENSG00000125810	CD93	p30720	Cystatin C	9.59E-11	10.0182	1.46E-06	1	RANDOM
3	ENSG00000145191	EIF2B5	p30080	Platelet count	2.26E-10	9.64613	3.36E-06	1	RANDOM
1	ENSG00000143258	USP21	p30860	Total protein	2.87E-10	9.54239	4.17E-06	1	RANDOM
2	ENSG00000118960	HS1BP3	p30640	Apolipoprotein B	3.80E-10	9.41995	5.41E-06	1	RANDOM
12	ENSG00000175970	UNC119B	p30710	C-reactive protein	4.54E-10	9.34282	6.32E-06	1	RANDOM
8	ENSG00000147533	GOLGA7	p30260	Mean reticulocyte volume	5.33E-10	9.27351	7.26E-06	1	RANDOM
9	ENSG00000070214	SLC44A1	p30630	Apolipoprotein A	5.58E-10	9.25315	7.45E-06	1	RANDOM
20	ENSG00000124209	RAB22A	p30110	Platelet distribution width	7.36E-10	9.13324	9.63E-06	1	RANDOM
19	ENSG00000130202	NECTIN2	p30640	Apolipoprotein B	9.52E-10	9.02136	1.22E-05	1	RANDOM
2	ENSG00000204120	GIGYF2	p30660	Direct bilirubin	1.77E-09	8.75251	2.22E-05	0	RANDOM
3	ENSG00000177383	MAGEF1	p30080	Platelet count	2.51E-09	8.59984	3.10E-05	0	RANDOM
1	ENSG00000177807	KCNJ10	p30710	C-reactive protein	2.93E-09	8.53351	3.55E-05	0	RANDOM
1	ENSG00000162746	FCRLB	p30860	Total protein	3.18E-09	8.4979	3.78E-05	0	RANDOM
9	ENSG00000070214	SLC44A1	p30760	HDL Cholesterol	3.31E-09	8.48032	3.87E-05	0	RANDOM
20	ENSG00000124203	ZNF831	p30110	Platelet distribution width	3.51E-09	8.4541	4.03E-05	0	RANDOM
17	ENSG00000068097	HEATR6	p30190	Monocyte percentage	4.01E-09	8.39686	4.52E-05	0	RANDOM
19	ENSG00000142252	GEMIN7	p30640	Apolipoprotein B	4.75E-09	8.32369	5.26E-05	0	RANDOM
6	ENSG00000118513	MYB	p30010	Red blood cell count	5.63E-09	8.24947	6.14E-05	0	RANDOM
