CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	FDR	P<1e-9	ANNOTATION
7	ENSG00000166924	NYAP1	p30020	Haemoglobin concentration	1.55E-72	71.8106	1.02E-66	1	CONTROL
7	ENSG00000106261	ZKSCAN1	p30020	Haemoglobin concentration	7.83E-72	71.1063	2.58E-66	1	CONTROL
7	ENSG00000087085	ACHE	p30020	Haemoglobin concentration	3.94E-71	70.4042	8.68E-66	1	CONTROL
7	ENSG00000077080	ACTL6B	p30020	Haemoglobin concentration	1.07E-69	68.9699	1.77E-64	1	CONTROL
7	ENSG00000166924	NYAP1	p30030	Haematocrit percentage	2.41E-64	63.6174	3.19E-59	1	CONTROL
7	ENSG00000106261	ZKSCAN1	p30030	Haematocrit percentage	9.34E-64	63.0295	9.75E-59	1	CONTROL
7	ENSG00000106366	SERPINE1	p30020	Haemoglobin concentration	1.03E-63	62.9856	9.75E-59	1	CONTROL
7	ENSG00000087085	ACHE	p30030	Haematocrit percentage	3.05E-63	62.5162	2.51E-58	1	CONTROL
7	ENSG00000168090	COPS6	p30020	Haemoglobin concentration	1.49E-62	61.8259	1.10E-57	1	CONTROL
7	ENSG00000077080	ACTL6B	p30030	Haematocrit percentage	6.38E-62	61.1949	4.22E-57	1	CONTROL
7	ENSG00000085514	PILRA	p30020	Haemoglobin concentration	3.46E-61	60.4605	2.08E-56	1	CONTROL
7	ENSG00000213420	GPC2	p30020	Haemoglobin concentration	4.71E-61	60.327	2.44E-56	1	CONTROL
7	ENSG00000213413	PVRIG	p30020	Haemoglobin concentration	4.81E-61	60.3182	2.44E-56	1	CONTROL
7	ENSG00000066923	STAG3	p30020	Haemoglobin concentration	9.41E-61	60.0262	4.44E-56	1	CONTROL
7	ENSG00000106366	SERPINE1	p30030	Haematocrit percentage	2.95E-59	58.5306	1.30E-54	1	CONTROL
7	ENSG00000168090	COPS6	p30030	Haematocrit percentage	2.23E-58	57.6522	9.19E-54	1	CONTROL
7	ENSG00000166924	NYAP1	p30010	Red blood cell count	3.48E-58	57.459	1.35E-53	1	CONTROL
7	ENSG00000106261	ZKSCAN1	p30010	Red blood cell count	7.85E-58	57.1051	2.88E-53	1	CONTROL
7	ENSG00000106366	SERPINE1	p30010	Red blood cell count	1.26E-57	56.899	4.38E-53	1	CONTROL
7	ENSG00000085514	PILRA	p30030	Haematocrit percentage	4.16E-57	56.381	1.34E-52	1	CONTROL
7	ENSG00000213420	GPC2	p30030	Haematocrit percentage	4.25E-57	56.3716	1.34E-52	1	CONTROL
7	ENSG00000087085	ACHE	p30010	Red blood cell count	4.48E-57	56.3483	1.35E-52	1	CONTROL
7	ENSG00000213413	PVRIG	p30030	Haematocrit percentage	4.77E-57	56.3219	1.37E-52	1	CONTROL
7	ENSG00000066923	STAG3	p30030	Haematocrit percentage	7.99E-57	56.0972	2.20E-52	1	CONTROL
7	ENSG00000168090	COPS6	p30010	Red blood cell count	9.97E-57	56.0015	2.63E-52	1	CONTROL
7	ENSG00000077080	ACTL6B	p30010	Red blood cell count	4.56E-56	55.3409	1.16E-51	1	CONTROL
7	ENSG00000213413	PVRIG	p30010	Red blood cell count	1.19E-55	54.9262	2.90E-51	1	CONTROL
7	ENSG00000085514	PILRA	p30010	Red blood cell count	1.25E-55	54.9035	2.94E-51	1	CONTROL
7	ENSG00000213420	GPC2	p30010	Red blood cell count	2.37E-55	54.625	5.40E-51	1	CONTROL
7	ENSG00000066923	STAG3	p30010	Red blood cell count	3.44E-55	54.4635	7.57E-51	1	CONTROL
10	ENSG00000099282	TSPAN15	p30750	Glycated haemoglobin (HbA1c)	8.19E-32	31.0865	1.75E-27	1	CONTROL
10	ENSG00000122912	SLC25A16	p30750	Glycated haemoglobin (HbA1c)	4.87E-31	30.3128	1.00E-26	1	CONTROL
10	ENSG00000107625	DDX50	p30750	Glycated haemoglobin (HbA1c)	7.60E-30	29.1193	1.52E-25	1	CONTROL
2	ENSG00000075884	ARHGAP15	p30120	Lymphocyte count	3.64E-27	26.4384	7.08E-23	1	CONTROL
9	ENSG00000120217	CD274	p30210	Eosinophill percentage	2.62E-21	20.5819	4.94E-17	1	CONTROL
10	ENSG00000060339	CCAR1	p30750	Glycated haemoglobin (HbA1c)	7.19E-20	19.1434	1.32E-15	1	CONTROL
10	ENSG00000138336	TET1	p30750	Glycated haemoglobin (HbA1c)	7.75E-20	19.1109	1.38E-15	1	CONTROL
9	ENSG00000120217	CD274	p30150	Eosinophill count	2.53E-18	17.5973	4.39E-14	1	CONTROL
16	ENSG00000169688	MT1B	p30760	HDL Cholesterol	1.15E-17	16.9406	1.94E-13	1	CONTROL
16	ENSG00000162009	SSTR5	p30770	IGF-1	1.89E-17	16.7243	3.11E-13	1	CONTROL
12	ENSG00000198270	TMEM116	p30090	Platelet crit	3.15E-17	16.5012	5.08E-13	1	CONTROL
12	ENSG00000089248	ERP29	p30090	Platelet crit	2.39E-16	15.6211	3.76E-12	1	CONTROL
12	ENSG00000198270	TMEM116	p30080	Platelet count	3.94E-15	14.4044	6.05E-11	1	CONTROL
16	ENSG00000006210	CX3CL1	p30760	HDL Cholesterol	2.20E-14	13.6581	3.30E-10	1	CONTROL
7	ENSG00000106351	AGFG2	p30020	Haemoglobin concentration	2.51E-14	13.6007	3.68E-10	1	CONTROL
16	ENSG00000007545	CRAMP1	p30770	IGF-1	3.10E-14	13.5086	4.45E-10	1	CONTROL
16	ENSG00000187535	IFT140	p30770	IGF-1	4.49E-14	13.3479	6.31E-10	1	CONTROL
12	ENSG00000089248	ERP29	p30080	Platelet count	5.29E-14	13.2763	7.28E-10	1	CONTROL
7	ENSG00000166925	TSC22D4	p30020	Haemoglobin concentration	2.89E-13	12.5391	3.89E-09	1	CONTROL
12	ENSG00000139351	SYCP3	p30770	IGF-1	6.37E-13	12.1957	8.41E-09	1	CONTROL
12	ENSG00000171759	PAH	p30770	IGF-1	9.90E-13	12.0045	1.28E-08	1	CONTROL
12	ENSG00000139352	ASCL1	p30770	IGF-1	1.13E-12	11.9486	1.43E-08	1	CONTROL
8	ENSG00000153317	ASAP1	p30130	Monocyte count	1.22E-12	11.9141	1.47E-08	1	CONTROL
16	ENSG00000127554	GFER	p30770	IGF-1	1.23E-12	11.9109	1.47E-08	1	CONTROL
16	ENSG00000196408	NOXO1	p30770	IGF-1	1.23E-12	11.9109	1.47E-08	1	CONTROL
7	ENSG00000106400	ZNHIT1	p30020	Haemoglobin concentration	2.06E-11	10.6858	2.43E-07	1	CONTROL
7	ENSG00000106397	PLOD3	p30020	Haemoglobin concentration	5.35E-11	10.2716	6.20E-07	1	CONTROL
8	ENSG00000153317	ASAP1	p30190	Monocyte percentage	5.57E-11	10.2539	6.34E-07	1	CONTROL
16	ENSG00000169688	MT1B	p30630	Apolipoprotein A	5.77E-11	10.239	6.45E-07	1	CONTROL
7	ENSG00000106327	TFR2	p30020	Haemoglobin concentration	7.02E-11	10.1536	7.73E-07	1	CONTROL
8	ENSG00000153310	CYRIB	p30130	Monocyte count	1.30E-10	9.88474	1.41E-06	1	CONTROL
16	ENSG00000162066	AMDHD2	p30770	IGF-1	2.89E-10	9.53896	3.08E-06	1	CONTROL
