CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	FDR	P<1e-9	ANNOTATION
8	ENSG00000160959	LRRC14	p30620	Alanine aminotransferase	2.79E-213	212.555	7.39E-208	1	NC
8	ENSG00000167702	KIFC2	p30620	Alanine aminotransferase	3.16E-213	212.5	7.39E-208	1	NC
8	ENSG00000160972	PPP1R16A	p30620	Alanine aminotransferase	3.18E-213	212.498	7.39E-208	1	NC
8	ENSG00000147804	SLC39A4	p30620	Alanine aminotransferase	6.82E-213	212.166	1.19E-207	1	NC
11	ENSG00000149591	TAGLN	p30870	Triglycerides	2.95E-174	173.53	4.12E-169	1	NC
11	ENSG00000168092	PAFAH1B2	p30870	Triglycerides	5.79E-174	173.237	6.74E-169	1	NC
11	ENSG00000149577	SIDT2	p30870	Triglycerides	1.29E-170	169.889	1.29E-165	1	NC
11	ENSG00000160584	SIK3	p30870	Triglycerides	8.75E-155	154.058	7.64E-150	1	NC
11	ENSG00000160613	PCSK7	p30870	Triglycerides	2.26E-105	104.646	1.66E-100	1	NC
11	ENSG00000167257	RNF214	p30870	Triglycerides	2.38E-105	104.623	1.66E-100	1	NC
11	ENSG00000110274	CEP164	p30870	Triglycerides	5.71E-105	104.243	3.63E-100	1	NC
11	ENSG00000186318	BACE1	p30870	Triglycerides	8.47E-105	104.072	4.93E-100	1	NC
11	ENSG00000149591	TAGLN	p30760	HDL Cholesterol	2.01E-69	68.6969	1.08E-64	1	NC
11	ENSG00000168092	PAFAH1B2	p30760	HDL Cholesterol	2.87E-67	66.5417	1.43E-62	1	NC
11	ENSG00000149577	SIDT2	p30760	HDL Cholesterol	3.32E-66	65.4786	1.55E-61	1	NC
16	ENSG00000131143	COX4I1	p30130	Monocyte count	1.56E-63	62.8071	6.40E-59	1	NC
16	ENSG00000131148	EMC8	p30130	Monocyte count	1.56E-63	62.8071	6.40E-59	1	NC
16	ENSG00000140968	IRF8	p30130	Monocyte count	9.86E-62	61.0061	3.83E-57	1	NC
11	ENSG00000160584	SIK3	p30760	HDL Cholesterol	3.69E-60	59.4334	1.35E-55	1	NC
