CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	ANNOTATION	CONDITIONING
8	ENSG00000147804	SLC39A4	p30620	Alanine aminotransferase	8.52E-15	14.0695	T cell	AFTER
20	ENSG00000101439	CST3	p30720	Cystatin C	7.08E-36	35.15	T cell	AFTER
7	ENSG00000106330	MOSPD3	p30010	Red blood cell count	2.26E-11	10.646	B cell	AFTER
7	ENSG00000106330	MOSPD3	p30020	Haemoglobin concentration	2.03E-13	12.6919	B cell	AFTER
7	ENSG00000106330	MOSPD3	p30030	Haematocrit percentage	4.55E-12	11.3417	B cell	AFTER
8	ENSG00000160972	PPP1R16A	p30620	Alanine aminotransferase	6.02E-18	17.2206	B cell	AFTER
8	ENSG00000167701	GPT	p30620	Alanine aminotransferase	8.16E-35	34.0884	B cell	AFTER
20	ENSG00000101439	CST3	p30720	Cystatin C	5.13E-35	34.2903	B cell	AFTER
8	ENSG00000160972	PPP1R16A	p30620	Alanine aminotransferase	1.90E-14	13.721	Kidney	AFTER
8	ENSG00000160973	FOXH1	p30620	Alanine aminotransferase	1.80E-22	21.7448	Kidney	AFTER
8	ENSG00000167701	GPT	p30620	Alanine aminotransferase	2.37E-14	13.6254	Kidney	AFTER
9	ENSG00000198435	NRARP	p30700	Creatinine	6.69E-10	9.17484	Kidney	AFTER
16	ENSG00000140968	IRF8	p30130	Monocyte count	5.86E-22	21.2319	Kidney	AFTER
16	ENSG00000140968	IRF8	p30190	Monocyte percentage	2.14E-14	13.669	Kidney	AFTER
1	ENSG00000117543	DPH5	p30180	Lymphocyte percentage	1.14E-07	6.94216	Liver	AFTER
1	ENSG00000169174	PCSK9	p30640	Apolipoprotein B	1.53E-25	24.815	Liver	AFTER
1	ENSG00000169174	PCSK9	p30690	Cholesterol	5.07E-20	19.2949	Liver	AFTER
2	ENSG00000135632	SMYD5	p30070	Red blood cell distribution width	6.28E-07	6.20196	Liver	AFTER
4	ENSG00000163631	ALB	p30600	Albumin	2.16E-07	6.66475	Liver	AFTER
7	ENSG00000106333	PCOLCE	p30010	Red blood cell count	5.10E-11	10.2921	Liver	AFTER
7	ENSG00000106333	PCOLCE	p30020	Haemoglobin concentration	5.00E-13	12.3007	Liver	AFTER
7	ENSG00000106333	PCOLCE	p30030	Haematocrit percentage	8.99E-12	11.0464	Liver	AFTER
8	ENSG00000160972	PPP1R16A	p30620	Alanine aminotransferase	2.10E-17	16.677	Liver	AFTER
8	ENSG00000167701	GPT	p30620	Alanine aminotransferase	2.33E-37	36.6326	Liver	AFTER
9	ENSG00000198435	NRARP	p30700	Creatinine	5.78E-11	10.2382	Liver	AFTER
9	ENSG00000198435	NRARP	p30720	Cystatin C	6.85E-09	8.16443	Liver	AFTER
12	ENSG00000151131	NOPCHAP1	p30750	Glycated haemoglobin (HbA1c)	4.54E-07	6.34249	Liver	AFTER
16	ENSG00000140968	IRF8	p30130	Monocyte count	2.14E-07	6.6694	Liver	AFTER
20	ENSG00000101439	CST3	p30720	Cystatin C	5.13E-35	34.2903	Liver	AFTER
8	ENSG00000160972	PPP1R16A	p30620	Alanine aminotransferase	1.28E-14	13.8917	Pancreas	AFTER
