CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	FDR	P<1e-9	ANNOTATION
8	ENSG00000167701	GPT	p30620	Alanine aminotransferase	1.78E-306	305.75	1.39E-300	1	CDS
20	ENSG00000101162	TUBB1	p30110	Platelet distribution width	1.30E-170	169.887	5.07E-165	1	CDS
22	ENSG00000177663	IL17RA	p30130	Monocyte count	6.49E-168	167.188	1.69E-162	1	CDS
1	ENSG00000132693	CRP	p30710	C-reactive protein	7.57E-147	146.121	1.48E-141	1	CDS
22	ENSG00000177663	IL17RA	p30190	Monocyte percentage	1.87E-140	139.727	2.93E-135	1	CDS
10	ENSG00000120053	GOT1	p30650	Aspartate aminotransferase	6.94E-96	95.1584	9.05E-91	1	CDS
10	ENSG00000260314	MRC1	p30650	Aspartate aminotransferase	9.08E-95	94.0417	1.01E-89	1	CDS
16	ENSG00000099769	IGFALS	p30770	IGF-1	2.87E-81	80.5422	2.81E-76	1	CDS
20	ENSG00000101439	CST3	p30720	Cystatin C	3.33E-75	74.4782	2.89E-70	1	CDS
1	ENSG00000162551	ALPL	p30810	Phosphate	4.19E-72	71.3775	3.28E-67	1	CDS
2	ENSG00000180871	CXCR2	p30140	Neutrophill count	1.66E-67	66.7791	1.18E-62	1	CDS
9	ENSG00000165029	ABCA1	p30630	Apolipoprotein A	1.86E-67	66.7309	1.21E-62	1	CDS
19	ENSG00000104870	FCGRT	p30600	Albumin	2.74E-64	63.5626	1.65E-59	1	CDS
9	ENSG00000165029	ABCA1	p30760	HDL Cholesterol	3.04E-61	60.5171	1.70E-56	1	CDS
17	ENSG00000129214	SHBG	p30850	Testosterone	1.41E-57	56.8494	7.37E-53	1	CDS
19	ENSG00000104870	FCGRT	p30860	Total protein	3.21E-54	53.4933	1.57E-49	1	CDS
1	ENSG00000169174	PCSK9	p30640	Apolipoprotein B	1.34E-52	51.8745	6.14E-48	1	CDS
18	ENSG00000101670	LIPG	p30630	Apolipoprotein A	3.29E-52	51.4824	1.43E-47	1	CDS
2	ENSG00000288705	UGT1A5	p30660	Direct bilirubin	9.28E-50	49.0325	3.82E-45	1	CDS
9	ENSG00000096968	JAK2	p30080	Platelet count	1.02E-49	48.9906	4.00E-45	1	CDS
2	ENSG00000180871	CXCR2	p30000	White blood cell count	7.05E-48	47.1521	2.62E-43	1	CDS
9	ENSG00000096968	JAK2	p30090	Platelet crit	1.26E-44	43.9	4.48E-40	1	CDS
16	ENSG00000213398	LCAT	p30760	HDL Cholesterol	1.53E-44	43.8151	5.20E-40	1	CDS
12	ENSG00000111252	SH2B3	p30090	Platelet crit	9.59E-44	43.0184	3.12E-39	1	CDS
2	ENSG00000180871	CXCR2	p30200	Neutrophill percentage	1.87E-43	42.7277	5.86E-39	1	CDS
18	ENSG00000101670	LIPG	p30760	HDL Cholesterol	1.69E-42	41.7724	5.08E-38	1	CDS
1	ENSG00000169174	PCSK9	p30690	Cholesterol	2.41E-40	39.6184	6.97E-36	1	CDS
12	ENSG00000111252	SH2B3	p30080	Platelet count	7.86E-40	39.1044	2.20E-35	1	CDS
2	ENSG00000180871	CXCR2	p30180	Lymphocyte percentage	7.69E-39	38.114	2.07E-34	1	CDS
15	ENSG00000166035	LIPC	p30630	Apolipoprotein A	1.17E-38	37.9313	3.05E-34	1	CDS
7	ENSG00000106633	GCK	p30750	Glycated haemoglobin (HbA1c)	2.81E-38	37.5507	7.10E-34	1	CDS
20	ENSG00000101162	TUBB1	p30080	Platelet count	3.93E-38	37.4055	9.61E-34	1	CDS
2	ENSG00000152254	G6PC2	p30750	Glycated haemoglobin (HbA1c)	6.19E-38	37.208	1.47E-33	1	CDS
2	ENSG00000084674	APOB	p30640	Apolipoprotein B	3.09E-37	36.5103	7.10E-33	1	CDS
7	ENSG00000130427	EPO	p30030	Haematocrit percentage	5.95E-37	36.2254	1.33E-32	1	CDS
2	ENSG00000241635	UGT1A1	p30660	Direct bilirubin	1.24E-35	34.9063	2.70E-31	1	CDS
