CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	FDR	P<1e-9	ANNOTATION
11	ENSG00000149577	SIDT2	p30870	Triglycerides	1.33E-174	173.875	6.27E-169	1	HIC
11	ENSG00000149591	TAGLN	p30870	Triglycerides	2.08E-174	173.681	6.27E-169	1	HIC
11	ENSG00000168092	PAFAH1B2	p30870	Triglycerides	3.90E-174	173.409	7.82E-169	1	HIC
11	ENSG00000160584	SIK3	p30870	Triglycerides	1.99E-170	169.701	2.99E-165	1	HIC
11	ENSG00000186318	BACE1	p30870	Triglycerides	2.60E-105	104.585	2.37E-100	1	HIC
11	ENSG00000160613	PCSK7	p30870	Triglycerides	2.76E-105	104.559	2.37E-100	1	HIC
11	ENSG00000167257	RNF214	p30870	Triglycerides	2.76E-105	104.559	2.37E-100	1	HIC
11	ENSG00000110274	CEP164	p30870	Triglycerides	5.27E-105	104.278	3.96E-100	1	HIC
11	ENSG00000149577	SIDT2	p30760	HDL Cholesterol	1.83E-68	67.7364	1.23E-63	1	HIC
11	ENSG00000149591	TAGLN	p30760	HDL Cholesterol	2.15E-68	67.6681	1.29E-63	1	HIC
11	ENSG00000168092	PAFAH1B2	p30760	HDL Cholesterol	1.94E-67	66.7123	1.06E-62	1	HIC
11	ENSG00000160584	SIK3	p30760	HDL Cholesterol	5.56E-66	65.2547	2.79E-61	1	HIC
16	ENSG00000131143	COX4I1	p30130	Monocyte count	1.88E-63	62.725	8.09E-59	1	HIC
16	ENSG00000131148	EMC8	p30130	Monocyte count	1.88E-63	62.725	8.09E-59	1	HIC
16	ENSG00000140968	IRF8	p30130	Monocyte count	1.72E-61	60.7634	6.91E-57	1	HIC
16	ENSG00000140968	IRF8	p30190	Monocyte percentage	8.40E-45	44.0759	3.16E-40	1	HIC
16	ENSG00000131143	COX4I1	p30190	Monocyte percentage	8.04E-43	42.095	2.68E-38	1	HIC
16	ENSG00000131148	EMC8	p30190	Monocyte percentage	8.04E-43	42.095	2.68E-38	1	HIC
17	ENSG00000132514	CLEC10A	p30640	Apolipoprotein B	3.43E-42	41.4649	1.09E-37	1	HIC
17	ENSG00000161940	BCL6B	p30640	Apolipoprotein B	1.05E-41	40.9784	3.16E-37	1	HIC
11	ENSG00000149591	TAGLN	p30630	Apolipoprotein A	9.85E-39	38.0065	2.82E-34	1	HIC
11	ENSG00000149577	SIDT2	p30630	Apolipoprotein A	3.88E-38	37.4115	1.06E-33	1	HIC
11	ENSG00000168092	PAFAH1B2	p30630	Apolipoprotein A	1.75E-37	36.7577	4.57E-33	1	HIC
11	ENSG00000160584	SIK3	p30630	Apolipoprotein A	5.93E-37	36.2266	1.49E-32	1	HIC
20	ENSG00000053438	NNAT	p30770	IGF-1	1.33E-34	33.8776	3.07E-30	1	HIC
20	ENSG00000166619	BLCAP	p30770	IGF-1	1.33E-34	33.8776	3.07E-30	1	HIC
11	ENSG00000186318	BACE1	p30760	HDL Cholesterol	3.94E-32	31.4044	8.78E-28	1	HIC
17	ENSG00000174326	SLC16A11	p30640	Apolipoprotein B	7.21E-32	31.1418	1.55E-27	1	HIC
11	ENSG00000110274	CEP164	p30760	HDL Cholesterol	9.05E-32	31.0435	1.88E-27	1	HIC
11	ENSG00000160613	PCSK7	p30760	HDL Cholesterol	2.56E-31	30.5923	4.96E-27	1	HIC
11	ENSG00000167257	RNF214	p30760	HDL Cholesterol	2.56E-31	30.5923	4.96E-27	1	HIC
22	ENSG00000099968	BCL2L13	p30130	Monocyte count	3.40E-31	30.4683	6.20E-27	1	HIC
22	ENSG00000131100	ATP6V1E1	p30130	Monocyte count	3.40E-31	30.4683	6.20E-27	1	HIC
17	ENSG00000132507	EIF5A	p30640	Apolipoprotein B	4.31E-30	29.3651	7.63E-26	1	HIC
17	ENSG00000006047	YBX2	p30640	Apolipoprotein B	4.15E-29	28.3818	6.93E-25	1	HIC
17	ENSG00000181856	SLC2A4	p30640	Apolipoprotein B	4.15E-29	28.3818	6.93E-25	1	HIC
17	ENSG00000141505	ASGR1	p30640	Apolipoprotein B	1.21E-28	27.9161	1.97E-24	1	HIC
9	ENSG00000106701	FSD1L	p30630	Apolipoprotein A	1.71E-27	26.7677	2.70E-23	1	HIC
22	ENSG00000099954	CECR2	p30130	Monocyte count	1.14E-26	25.9418	1.76E-22	1	HIC
22	ENSG00000015475	BID	p30130	Monocyte count	4.73E-25	24.3248	7.12E-21	1	HIC
17	ENSG00000129194	SOX15	p30640	Apolipoprotein B	9.77E-25	24.0101	1.43E-20	1	HIC
17	ENSG00000141510	TP53	p30640	Apolipoprotein B	1.22E-24	23.915	1.74E-20	1	HIC
17	ENSG00000174327	SLC16A13	p30640	Apolipoprotein B	1.48E-24	23.8296	2.07E-20	1	HIC
17	ENSG00000129255	MPDU1	p30640	Apolipoprotein B	2.73E-24	23.5639	3.73E-20	1	HIC
9	ENSG00000106701	FSD1L	p30760	HDL Cholesterol	5.88E-23	22.2303	7.86E-19	1	HIC
6	ENSG00000124490	CRISP2	p30270	Mean sphered cell volume	1.46E-20	19.8354	1.91E-16	1	HIC
17	ENSG00000132514	CLEC10A	p30600	Albumin	2.74E-20	19.5627	3.50E-16	1	HIC
17	ENSG00000161940	BCL6B	p30600	Albumin	5.81E-20	19.2361	7.27E-16	1	HIC
17	ENSG00000132522	GPS2	p30640	Apolipoprotein B	6.04E-20	19.2192	7.41E-16	1	HIC
