CHROM	GENE	GENE_NAME	TRAIT	TRAIT_NAME	NOCOND_LOG10P	NOCOND_PVAL	NOCOND_FDR	COND_LOG10P	COND_PVAL	COND_FDR	COND_PASSING_PVAL1e9	COND_PASSING_FDR5	ANNOTATION
20	ENSG00000101439	CST3	p30720	Cystatin C	19.67	2.15E-20	2.94E-16	33.88	1.30E-34	9.11E-29	1	1	NC
22	ENSG00000099954	CECR2	p30130	Monocyte count	23.99	1.02E-24	1.73E-20	20.49	3.24E-21	1.13E-15	1	1	NC
6	ENSG00000124490	CRISP2	p30270	Mean sphered cell volume	19.84	1.46E-20	2.04E-16	19.99	1.03E-20	2.05E-15	1	1	NC
22	ENSG00000131100	ATP6V1E1	p30130	Monocyte count	22.91	1.24E-23	1.93E-19	19.93	1.17E-20	2.05E-15	1	1	NC
22	ENSG00000099968	BCL2L13	p30130	Monocyte count	22.72	1.90E-23	2.88E-19	19.83	1.49E-20	2.08E-15	1	1	NC
20	ENSG00000101474	APMAP	p30720	Cystatin C	14.19	6.50E-15	4.31E-11	17.97	1.06E-18	1.24E-13	1	1	NC
11	ENSG00000149591	TAGLN	p30870	Triglycerides	173.53	2.95E-174	4.12E-169	17.39	4.07E-18	4.06E-13	1	1	NC
22	ENSG00000015475	BID	p30130	Monocyte count	20.26	5.50E-21	8.03E-17	17.30	5.04E-18	4.40E-13	1	1	NC
6	ENSG00000124490	CRISP2	p30750	Glycated haemoglobin (HbA1c)	13.61	2.48E-14	1.47E-10	14.85	1.41E-15	1.10E-10	1	1	NC
6	ENSG00000124490	CRISP2	p30240	Reticulocyte percentage	15.67	2.13E-16	1.67E-12	14.33	4.66E-15	3.26E-10	1	1	NC
6	ENSG00000124490	CRISP2	p30250	Reticulocyte count	14.09	8.15E-15	5.26E-11	12.76	1.74E-13	1.11E-08	1	1	NC
20	ENSG00000053438	NNAT	p30770	IGF-1	30.27	5.35E-31	1.17E-26	12.21	6.20E-13	3.61E-08	1	1	NC
20	ENSG00000166619	BLCAP	p30770	IGF-1	29.49	3.27E-30	6.72E-26	12.10	8.00E-13	4.30E-08	1	1	NC
22	ENSG00000131100	ATP6V1E1	p30190	Monocyte percentage	13.37	4.24E-14	2.43E-10	11.38	4.12E-12	2.06E-07	1	1	NC
22	ENSG00000099968	BCL2L13	p30190	Monocyte percentage	13.25	5.60E-14	3.15E-10	11.31	4.86E-12	2.26E-07	1	1	NC
22	ENSG00000099954	CECR2	p30190	Monocyte percentage	13.08	8.36E-14	4.52E-10	10.90	1.27E-11	5.22E-07	1	1	NC
6	ENSG00000124812	CRISP1	p30270	Mean sphered cell volume	12.32	4.83E-13	2.28E-09	10.92	1.21E-11	5.22E-07	1	1	NC
6	ENSG00000096006	CRISP3	p30270	Mean sphered cell volume	12.62	2.39E-13	1.21E-09	10.81	1.56E-11	6.07E-07	1	1	NC
6	ENSG00000124490	CRISP2	p30260	Mean reticulocyte volume	11.35	4.45E-12	2.02E-08	10.48	3.34E-11	1.23E-06	1	1	NC
22	ENSG00000015475	BID	p30190	Monocyte percentage	12.00	9.98E-13	4.62E-09	10.11	7.69E-11	2.68E-06	1	1	NC
13	ENSG00000122025	FLT3	p30130	Monocyte count	6.44	3.66E-07	5.95E-04	9.56	2.77E-10	9.20E-06	1	1	NC
6	ENSG00000096006	CRISP3	p30750	Glycated haemoglobin (HbA1c)	8.76	1.75E-09	4.73E-06	8.93	1.17E-09	3.56E-05	0	1	NC
6	ENSG00000124812	CRISP1	p30750	Glycated haemoglobin (HbA1c)	8.84	1.45E-09	3.95E-06	8.94	1.15E-09	3.56E-05	0	1	NC
11	ENSG00000149577	SIDT2	p30870	Triglycerides	169.89	1.29E-170	1.29E-165	7.95	1.12E-08	3.25E-04	0	1	NC
6	ENSG00000124812	CRISP1	p30240	Reticulocyte percentage	10.49	3.27E-11	1.33E-07	7.86	1.38E-08	3.86E-04	0	1	NC
6	ENSG00000112081	SRSF3	p30270	Mean sphered cell volume	5.77	1.68E-06	2.31E-03	7.84	1.45E-08	3.88E-04	0	1	NC
11	ENSG00000168092	PAFAH1B2	p30870	Triglycerides	173.24	5.79E-174	6.74E-169	7.82	1.50E-08	3.88E-04	0	1	NC
6	ENSG00000096006	CRISP3	p30240	Reticulocyte percentage	10.09	8.22E-11	3.17E-07	7.75	1.77E-08	4.40E-04	0	1	NC
16	ENSG00000103254	ANTKMT	p30750	Glycated haemoglobin (HbA1c)	8.35	4.43E-09	1.08E-05	7.56	2.79E-08	6.42E-04	0	1	NC
6	ENSG00000124490	CRISP2	p30290	High light scatter reticulocyte percentage	8.73	1.86E-09	4.90E-06	7.54	2.85E-08	6.42E-04	0	1	NC
6	ENSG00000124812	CRISP1	p30250	Reticulocyte count	9.81	1.53E-10	5.42E-07	7.57	2.72E-08	6.42E-04	0	1	NC
6	ENSG00000137409	MTCH1	p30270	Mean sphered cell volume	6.23	5.91E-07	9.04E-04	7.39	4.05E-08	8.85E-04	0	1	NC
16	ENSG00000103152	MPG	p30750	Glycated haemoglobin (HbA1c)	8.06	8.71E-09	1.98E-05	7.31	4.93E-08	1.04E-03	0	1	NC
